POP,DENSITY,GEONAME,state,state,place
2603,167.4743048,"Abbeville city, Alabama",1,,124
4360,173.5550444,"Adamsville city, Alabama",1,,460
738,195.9759991,"Addison town, Alabama",1,,484
334,487.0361025,"Akron town, Alabama",1,,676
32948,1311.249808,"Alabaster city, Alabama",1,,820
21525,811.1163513,"Albertville city, Alabama",1,,988
14773,351.7874324,"Alexander City city, Alabama",1,,1132
2357,516.4701019,"Aliceville city, Alabama",1,,1228
627,603.6240269,"Allgood town, Alabama",1,,1396
919,212.6436618,"Altoona town, Alabama",1,,1660
8968,456.2415604,"Andalusia city, Alabama",1,,1708
276,213.5615652,"Anderson town, Alabama",1,,1756
22112,484.4776124,"Anniston city, Alabama",1,,1852
8340,628.9119359,"Arab city, Alabama",1,,2116
1382,676.6965543,"Ardmore town, Alabama",1,,2260
4213,391.1875284,"Argo town, Alabama",1,,2320
741,145.5856408,"Ariton town, Alabama",1,,2428
350,93.06312563,"Arley town, Alabama",1,,2500
2149,342.1111446,"Ashford town, Alabama",1,,2836
1971,268.8714004,"Ashland town, Alabama",1,,2860
2275,118.4058612,"Ashville city, Alabama",1,,2908
25393,636.9996692,"Athens city, Alabama",1,,2956
10022,458.627562,"Atmore city, Alabama",1,,3004
5865,840.2037459,"Attalla city, Alabama",1,,3028
63118,1072.844898,"Auburn city, Alabama",1,,3076
854,110.9459169,"Autaugaville town, Alabama",1,,3220
505,190.7764028,"Avon town, Alabama",1,,3364
600,52.30646317,"Babbie town, Alabama",1,,3556
627,119.2297447,"Baileyton town, Alabama",1,,3676
261,94.85842848,"Bakerhill town, Alabama",1,,3724
173,87.07865548,"Banks town, Alabama",1,,3940
9312,539.6457754,"Bay Minette city, Alabama",1,,4660
2513,335.4855722,"Bayou La Batre city, Alabama",1,,4684
1041,76.38879507,"Bear Creek town, Alabama",1,,4852
283,209.2070134,"Beatrice town, Alabama",1,,4900
187,40.75878837,"Beaverton town, Alabama",1,,4948
207,149.3823328,"Belk town, Alabama",1,,5164
46,152.3565215,"Benton town, Alabama",1,,5692
1099,102.0772482,"Berry town, Alabama",1,,5932
26511,655.1914839,"Bessemer city, Alabama",1,,5980
141,107.9385901,"Billingsley town, Alabama",1,,6460
212157,1452.301729,"Birmingham city, Alabama",1,,7000
207,67.18231651,"Black town, Alabama",1,,7120
1694,312.5098373,"Blountsville town, Alabama",1,,7456
91,31.42148838,"Blue Springs town, Alabama",1,,7672
9710,667.3694371,"Boaz city, Alabama",1,,7912
306,77.46196845,"Boligee town, Alabama",1,,8104
113,85.16501697,"Bon Air town, Alabama",1,,8248
801,257.792838,"Brantley town, Alabama",1,,9016
4919,560.2669941,"Brent city, Alabama",1,,9136
5432,484.3830233,"Brewton city, Alabama",1,,9208
2337,539.9456875,"Bridgeport city, Alabama",1,,9328
2833,1997.249149,"Brighton city, Alabama",1,,9400
879,82.22519698,"Brilliant town, Alabama",1,,9424
1323,206.6390809,"Brookside town, Alabama",1,,9736
1827,218.291216,"Brookwood town, Alabama",1,,9808
