USPS,GEOID,ANSICODE,NAME,area_land_sqmi,Latitude,Longitude,population,density
AL,100124,2403054,Abbeville city,15.543,31.564689,-85.259124,2603,167.4743048
AL,100460,2403063,Adamsville city,25.178,33.605748,-86.974649,4360,173.5550444
AL,100484,2405123,Addison town,3.766,34.202681,-87.178004,738,195.9759991
AL,100676,2405125,Akron town,0.686,32.879495,-87.741679,334,487.0361025
AL,100820,2403069,Alabaster city,25.181,33.226936,-86.761015,32948,1311.249808
AL,100988,2403074,Albertville city,26.538,34.26313,-86.21066,21525,811.1163513
AL,101132,2403077,Alexander City city,41.993,32.92724,-85.937122,14773,351.7874324
AL,101180,2402638,Alexandria CDP,11.133,33.760819,-85.872008,14773,351.7874324
AL,101228,2403080,Aliceville city,4.564,33.123686,-88.159364,2357,516.4701019
AL,101396,2405136,Allgood town,1.039,33.907623,-86.516109,627,603.6240269
AL,101660,2405146,Altoona town,4.322,34.040014,-86.305179,919,212.6436618
AL,101708,2403097,Andalusia city,19.657,31.309436,-86.478031,8968,456.2415604
AL,101756,2405149,Anderson town,1.292,34.915675,-87.274274,276,213.5615652
AL,101852,2403101,Anniston city,45.598,33.673435,-85.810937,22112,484.4776124
AL,102116,2403104,Arab city,13.261,34.332387,-86.501167,8340,628.9119359
AL,102260,2405163,Ardmore town,2.042,34.987838,-86.829022,1382,676.6965543
AL,102320,2405164,Argo town,10.77,33.691576,-86.503766,4213,391.1875284
AL,102428,2405166,Ariton town,5.09,31.597772,-85.713061,741,145.5856408
AL,102500,2405167,Arley town,3.761,34.076234,-87.217831,350,93.06312563
AL,102836,2405172,Ashford town,6.282,31.185284,-85.236236,2149,342.1111446
AL,102860,2405173,Ashland town,7.331,33.269892,-85.833706,1971,268.8714004
AL,102908,2403122,Ashville city,19.214,33.835197,-86.270015,2275,118.4058612
AL,102956,2403123,Athens city,39.86,34.779021,-86.950799,25393,636.9996692
AL,103004,2403129,Atmore city,21.862,31.127936,-87.457643,10022,458.627562
AL,103028,2403130,Attalla city,6.98,33.986189,-86.121037,5865,840.2037459
AL,103076,2403132,Auburn city,58.838,32.607722,-85.489545,63118,1072.844898
AL,103220,2405187,Autaugaville town,7.697,32.432563,-86.658752,854,110.9459169
AL,103364,2405191,Avon town,2.647,31.179727,-85.279211,505,190.7764028
AL,103508,2628577,Axis CDP,3.9,30.922563,-88.02185,505,190.7764028
AL,103556,2405195,Babbie town,11.471,31.302083,-86.319437,600,52.30646317
AL,103676,2405198,Baileyton town,5.255,34.260858,-86.608788,627,119.2297447
AL,103724,2405200,Bakerhill town,2.751,31.776923,-85.295408,261,94.85842848
AL,103820,2582662,Ballplay CDP,23.551,34.023046,-85.801481,261,94.85842848
AL,103940,2405206,Banks town,1.987,31.813264,-85.836434,173,87.07865548
AL,104660,2403825,Bay Minette city,17.253,30.894436,-87.791306,9312,539.6457754
AL,104684,2403828,Bayou La Batre city,7.52,30.407586,-88.263271,2513,335.4855722
AL,104852,2405219,Bear Creek town,13.628,34.255481,-87.713399,1041,76.38879507
AL,104900,2405221,Beatrice town,1.353,31.733309,-87.209046,283,209.2070134
AL,104948,2405225,Beaverton town,4.588,33.935411,-88.021778,187,40.75878837
AL,105140,2628578,Belgreen CDP,1.228,34.47454,-87.861678,187,40.75878837
AL,105164,2405230,Belk town,1.386,33.651647,-87.928609,207,149.3823328
AL,105188,2628579,Bellamy CDP,3.776,32.463658,-88.131481,207,149.3823328
AL,105212,2632282,Belle Fontaine CDP,1.553,30.489492,-88.10594,207,149.3823328
AL,105692,2405243,Benton town,0.302,32.307931,-86.817546,46,152.3565215
AL,105932,2405250,Berry town,10.766,33.666702,-87.609311,1099,102.0772482
AL,105980,2403864,Bessemer city,40.538,33.370789,-86.971568,26511,655.1914839
AL,106460,2405265,Billingsley town,1.306,32.66522,-86.706673,141,107.9385901
AL,107000,2403868,Birmingham city,146.021,33.527444,-86.799047,212157,1452.301729
AL,107120,2405270,Black town,3.081,31.010249,-85.742791,207,67.18231651
AL,107456,2405280,Blountsville town,5.421,34.075728,-86.583728,1694,312.5098373
AL,107588,2402696,Blue Ridge CDP,7.776,32.4989,-86.182436,1694,312.5098373
AL,107672,2405286,Blue Springs town,2.896,31.663516,-85.503526,91,31.42148838
AL,107912,2403886,Boaz city,14.55,34.19902,-86.155151,9710,667.3694371
AL,108104,2405297,Boligee town,3.95,32.7681,-88.028579,306,77.46196845
AL,108248,2405301,Bon Air town,1.327,33.25937,-86.327148,113,85.16501697
AL,108272,2633314,Bon Secour CDP,4.321,30.318246,-87.72439,113,85.16501697
AL,108680,2628580,Boykin CDP,2.66,32.068375,-87.294343,113,85.16501697
AL,109016,2405315,Brantley town,3.107,31.581992,-86.256784,801,257.792838
AL,109064,2582663,Brantleyville CDP,2.196,33.219303,-86.882522,801,257.792838
AL,109136,2403918,Brent city,8.78,32.944893,-87.172088,4919,560.2669941
AL,109208,2403921,Brewton city,11.214,31.109175,-87.076583,5432,484.3830233
AL,109328,2403924,Bridgeport city,4.328,34.949312,-85.723765,2337,539.9456875
AL,109400,2403925,Brighton city,1.415,33.439252,-86.945384,2833,1997.249149
AL,109424,2405321,Brilliant town,10.691,34.025352,-87.769147,879,82.22519698
AL,109457,2582664,Bristow Cove CDP,10.843,34.109216,-86.240993,879,82.22519698
AL,109500,2403203,Brook Highland CDP,2.806,33.442208,-86.686656,879,82.22519698
AL,109736,2405331,Brookside town,6.402,33.636966,-86.89608,1323,206.6390809
AL,109808,2405333,Brookwood town,8.37,33.239844,-87.331494,1827,218.291216
AL,109880,2582666,Broomtown CDP,4.694,34.365728,-85.532112,1827,218.291216
AL,110240,2403943,Brundidge city,9.746,31.717639,-85.81755,1972,202.3461634
AL,110456,2628581,Bucks CDP,0.387,31.016881,-88.026385,1972,202.3461634
AL,111032,2405351,Butler town,5.568,32.095113,-88.21397,1773,318.4501134
AL,111416,2403965,Calera city,24.09,33.122319,-86.745644,13489,560.0918334
AL,111488,2628582,Calvert CDP,3.429,31.15447,-88.01046,13489,560.0918334
AL,111512,2403975,Camden city,4.184,31.998493,-87.28895,1919,458.639852
AL,111680,2405370,Camp Hill town,8.99,32.797327,-85.655833,975,108.4563209
AL,112016,2403992,Carbon Hill city,5.5,33.894991,-87.522078,1964,357.0773228
AL,112040,2405377,Cardiff town,0.251,33.647188,-86.930557,54,215.4449978
AL,112070,2582667,Carlisle-Rockledge CDP,16.189,34.114451,-86.124073,54,215.4449978
AL,112112,2628583,Carlton CDP,4.52,31.348571,-87.835666,54,215.4449978
AL,112160,2405380,Carolina town,1.109,31.23415,-86.521001,296,266.9855463
AL,112304,2405384,Carrollton town,2.058,33.261903,-88.095071,980,476.0797496
AL,112496,2406236,Castleberry town,1.711,31.299678,-87.029129,551,322.053191
AL,112544,2628584,Catherine CDP,2.295,32.18617,-87.469978,551,322.053191
AL,112760,2406240,Cedar Bluff town,5.088,34.221422,-85.588565,1790,351.894961
AL,113264,2404020,Center Point city,6.205,33.643903,-86.684567,16496,2658.680464
AL,113648,2404025,Centre city,11.44,34.155363,-85.668842,3555,310.7587304
AL,113672,2404026,Centreville city,9.451,32.958798,-87.132305,2708,286.5225614
AL,114008,2406259,Chatom town,10.722,31.469145,-88.246019,1231,114.806388
AL,114104,2404037,Chelsea city,22.741,33.324248,-86.635549,12341,559.0376301
AL,114152,2406262,Cherokee town,2.216,34.7577,-87.965589,1009,455.2336481
AL,114392,2404045,Chickasaw city,4.207,30.77145,-88.079697,5908,1404.471457
AL,114464,2404048,Childersburg city,12.331,33.292538,-86.340822,4997,405.464902
AL,114728,2582668,Choccolocco CDP,11.645,33.674346,-85.710918,4997,405.464902
AL,114968,2628585,Chunchula CDP,1.804,30.927194,-88.2082,4997,405.464902
AL,115064,2404051,Citronelle city,25.846,31.097269,-88.249843,3885,150.3372922
AL,115136,2404052,Clanton city,22.845,32.845572,-86.619494,8846,403.2749491
AL,115256,2404063,Clay city,9.928,33.696582,-86.608166,9587,965.6824759
AL,115304,2406273,Clayhatchee town,2.718,31.236925,-85.721478,573,210.8223888
AL,115376,2406274,Clayton town,6.762,31.882227,-85.460423,2904,434.9257612
AL,115472,2406278,Cleveland town,7.829,34.002179,-86.561352,1313,167.4505659
AL,115640,2404082,Clio city,10.066,31.708516,-85.611039,1470,146.0389297
AL,116000,2406286,Coaling town,5.014,33.169901,-87.349887,1642,327.4856407
AL,116080,2582669,Coats Bend CDP,8.55,34.073273,-85.874602,1642,327.4856407
AL,116240,2406288,Coffee Springs town,0.784,31.165836,-85.910898,227,289.5942401
AL,116264,2406289,Coffeeville town,4.52,31.766564,-88.086049,334,73.89471906
AL,116312,2406291,Coker town,2.035,33.243752,-87.681329,985,483.9665465
AL,116600,2406296,Collinsville town,3.916,34.262193,-85.867868,1963,501.303751
AL,116684,2406297,Colony town,2.252,33.941185,-86.901864,274,121.6805582
AL,116744,2406298,Columbia town,3.931,31.295351,-85.110202,729,185.4405226
AL,116768,2404109,Columbiana city,17.405,33.191452,-86.615618,4539,262.2032717
AL,116936,2402792,Concord CDP,3.365,33.461986,-87.040435,4539,262.2032717
AL,117176,2406310,Coosada town,7.077,32.495394,-86.326543,1244,175.7912294
AL,117368,2404130,Cordova city,5.831,33.761788,-87.199416,2014,345.6449991
AL,117704,2727439,Cottondale CDP,3.46,33.193047,-87.454861,2014,345.6449991
AL,117824,2406321,Cottonwood town,5.773,31.054033,-85.29956,1255,217.4082399
AL,117968,2406322,County Line town,0.965,33.820895,-86.71973,260,269.3569204
AL,118040,2406323,Courtland town,2.952,34.669946,-87.327892,599,202.8920118
AL,118088,2406329,Cowarts town,7.412,31.206248,-85.309769,1994,269.0242995
AL,118304,2404149,Creola city,14.239,30.874343,-88.009442,1961,137.7207568
AL,118856,2406341,Crossville town,8.369,34.285486,-85.998756,1841,219.9675176
AL,118952,2406344,Cuba town,4.062,32.440733,-88.374798,317,78.03769832
AL,118976,2404166,Cullman city,19.362,34.179337,-86.840793,15496,800.3332041
AL,119024,2628586,Cullomburg CDP,5.345,31.713061,-88.291774,15496,800.3332041
AL,119216,2424934,Cusseta town,2.619,32.787654,-85.305748,123,46.96517275
AL,119336,2404175,Dadeville city,15.941,32.826114,-85.776201,3128,196.2192482
AL,119360,2404178,Daleville city,14.051,31.291503,-85.711567,5101,362.0583512
AL,119648,2404186,Daphne city,16.478,30.625545,-87.895979,25913,1571.977047
AL,119744,2406357,Dauphin Island town,6.256,30.250913,-88.171268,1261,201.5513195
AL,119816,2406360,Daviston town,9.135,33.056839,-85.634329,209,22.88025747
AL,119912,2406361,Dayton town,0.998,32.350958,-87.641573,49,49.09067602
AL,120008,2406364,Deatsville town,4.662,32.588972,-86.388986,1157,248.1576564
AL,120104,2404206,Decatur city,54.078,34.572995,-86.989901,55072,1011.556665
AL,120152,2628587,Deer Park CDP,3.125,31.218369,-88.328023,55072,1011.556665
AL,120272,2582670,Delta CDP,7.787,33.440524,-85.675905,55072,1011.556665
AL,120296,2404214,Demopolis city,17.738,32.499938,-87.825426,7019,395.7046216
AL,120392,2406377,Detroit town,1.326,34.027379,-88.167831,227,171.1735151
AL,120955,2406384,Dodge City town,3.441,34.045414,-86.88267,606,176.0943599
AL,121136,2404235,Dora city,7.51,33.729703,-87.083874,1946,259.1236214
AL,121184,2404238,Dothan city,89.639,31.233698,-85.406823,68468,763.811744
AL,121280,2406389,Double Springs town,4.11,34.15134,-87.403488,1051,255.7447582
AL,121328,2406390,Douglas town,3.405,34.168258,-86.323386,761,223.5267244
AL,121448,2406394,Dozier town,2.95,31.505407,-86.369235,331,111.9130722
AL,121890,2582671,Dunnavant CDP,18.048,33.508673,-86.529843,331,111.9130722
AL,121952,2406408,Dutton town,0.864,34.606152,-85.91185,308,356.4707498
AL,122216,2403531,East Brewton city,3.408,31.09144,-87.055345,2415,708.6610512
AL,122504,2628588,East Point CDP,1.111,34.191023,-86.791785,2415,708.6610512
AL,122816,2406420,Eclectic town,4.195,32.640179,-86.041096,1026,244.5804938
AL,123032,2402443,Edgewater CDP,1.213,33.530099,-86.95279,1026,244.5804938
AL,123176,2406427,Edwardsville town,16.444,33.88374,-85.414124,202,12.2843548
AL,123224,2582672,Egypt CDP,9.01,34.075938,-86.165054,202,12.2843548
AL,123296,2403549,Elba city,15.338,31.417313,-86.077189,3893,253.8151488
AL,123320,2406430,Elberta town,6.882,30.40821,-87.555585,1679,244.2187922
AL,123344,2406431,Eldridge town,0.7,33.922018,-87.620108,127,181.3543089
AL,123488,2406437,Elkmont town,1.598,34.932604,-86.976971,469,293.5490188
AL,123656,2406444,Elmore town,3.947,32.544337,-86.336446,1307,331.1487044
AL,123872,2406447,Emelle town,0.211,32.728678,-88.316486,50,237.151459
AL,123880,2582673,Emerald Mountain CDP,16.087,32.447641,-86.094618,50,237.151459
AL,124184,2403567,Enterprise city,30.62,31.326898,-85.844021,28024,915.2178021
AL,124256,2406456,Epes town,1.919,32.691249,-88.126852,181,94.3133542
AL,124472,2406465,Ethelsville town,0.567,33.414066,-88.216093,73,128.740098
